respid,Gender,Age,Age_Breaks,Region2,Race,Language_Dominance,Parent,HH_Income,Employment,Education,Marital_Status,Total_Paid_HE_Movies,Bought_Disc_DVD,Bought_Disc_BD,Bought_Digital,Rented_Disc_Store,Rented_Disc_Kiosk,Rented_Disc_Mail,Rented_Digital_iVOD,Rented_Digital_sVOD,Rented_Digital_cVOD,cqhidGroup,filter_$,ZTotal_Paid_HE_Movies,Buy_Disc_Percent,Buy_Digital_Percent,Rent_Disc_Percent,Rent_Digital_Percent
5202,1,45,45-54,3,5,3,1,7,1,5,3,27,3,3,4,3,2,4,2,3,3,1,1,.33900922352399,.222222222222222,.148148148148148,.333333333333333,.296296296296296
5212,2,35,35-44,4,1, ,1,6,4,3,3,38,3,6,1,0,10,5,2,10,1,1,1,.792240954129134,.236842105263158,.0263157894736842,.394736842105263,.342105263157895
5214,2,41,35-44,3,5,5,1,5,1,3,3,43,0,12,10,0,1,0,2,6,12,1,1,.998255377131471,.27906976744186,.232558139534884,.0232558139534884,.465116279069767
5215,1,65,65-74,3,5,1,2,3,2,4,3,2,0,0,0,0,2,0,0,0,0,1,1,-.691062891487699,0,0,1,0
5224,2,35,35-44,3,3, ,1,6,4,6,3,9,1,1,1,1,1,1,1,1,1,1,1,-.402642699284426,.222222222222222,.111111111111111,.333333333333333,.333333333333333
5231,1,45,45-54,4,1, ,1,6,1,3,3,16,0,0,0,0,6,0,0,6,4,1,1,-.114222507081153,0,0,.375,.625
5241,1,49,45-54,3,1, ,1,9,1,6,3,20,2,2,3,0,3,0,5,5,0,1,1,.050589031320717,.2,.15,.15,.5
5243,2,57,55-64,1,1, ,2,7,4,4,3,6,0,0,0,0,0,0,0,0,6,1,1,-.526251353085829,0,0,0,1
5247,2,36,35-44,4,1, ,1,6,4,2,1,21,5,1,0,0,0,0,0,5,10,1,1,.0917919159211846,.285714285714286,0,0,.714285714285714
5248,2,59,55-64,3,1, ,2,5,1,2,3,1,0,0,0,0,1,0,0,0,0,1,1,-.732265776088167,0,0,1,0
5249,2,39,35-44,2,1, ,2,5,1,5,3,31,12,5,0,0,0,12,0,2,0,1,1,.50382076192586,.548387096774194,0,.387096774193548,.0645161290322581
5250,2,54,45-54,3,3, ,1,5,1,4,1,2,0,0,0,0,2,0,0,0,0,1,1,-.691062891487699,0,0,1,0
5251,2,38,35-44,2,1, ,1,7,1,4,3,20,2,3,3,2,2,2,2,2,2,1,1,.050589031320717,.25,.15,.3,.3
5254,2,61,55-64,4,1, ,2,6,1,5,3,2,0,0,0,0,2,0,0,0,0,1,1,-.691062891487699,0,0,1,0
5257,1,43,35-44,4,1, ,1,6,2,4,3,8,0,1,0,0,2,0,1,4,0,1,1,-.443845583884894,.125,0,.25,.625
5259,2,42,35-44,3,1, ,1,7,1,6,3,30,0,0,0,0,20,0,0,10,0,1,1,.462617877325393,0,0,.666666666666667,.333333333333333
5261,1,36,35-44,4,2, ,1,5,1,3,1,35,0,0,0,0,5,10,6,10,4,1,1,.668632300327731,0,0,.428571428571429,.571428571428571
5272,1,43,35-44,3,1, ,2,4,1,3,1,5,0,0,0,0,0,0,0,5,0,1,1,-.567454237686297,0,0,0,1
5273,2,62,55-64,3,1, ,2,2,3,3,3,2,0,0,0,0,1,0,0,1,0,1,1,-.691062891487699,0,0,.5,.5
5274,1,53,45-54,3,1, ,2,2,3,2,1,1,0,0,0,0,0,1,0,0,0,1,1,-.732265776088167,0,0,1,0
5289,1,33,25-34,4,3, ,1,6,1,3,3,2,0,0,0,0,0,0,0,2,0,1,1,-.691062891487699,0,0,0,1
5295,2,51,45-54,2,1, ,1,4,2,4,3,24,0,0,0,0,0,0,0,24,0,1,1,.215400569722587,0,0,0,1
5296,2,44,35-44,2,1, ,1,2,1,2,1,2,0,0,0,0,0,0,0,2,0,1,1,-.691062891487699,0,0,0,1
5311,2,54,45-54,4,1, ,2,3,3,3,3,20,0,0,0,0,0,0,0,20,0,1,1,.050589031320717,0,0,0,1
5313,2,40,35-44,1,1, ,1,9,4,3,3,5,0,0,1,0,0,0,1,2,1,1,1,-.567454237686297,0,.2,0,.8
5320,2,36,35-44,2,1, ,1,4,1,3,1,7,1,0,0,0,0,0,0,6,0,1,1,-.485048468485362,.142857142857143,0,0,.857142857142857
5323,2,51,45-54,2,1, ,1,1,1,2,3,3,3,0,0,0,0,0,0,0,0,1,1,-.649860006887232,1,0,0,0
5324,1,26,25-34,3,1, ,1,4,1,3,3,9,2,0,0,0,2,0,0,4,1,1,1,-.402642699284426,.222222222222222,0,.222222222222222,.555555555555556
5326,2,38,35-44,3,1, ,1,4,4,3,3,31,0,0,3,12,0,0,4,12,0,1,1,.50382076192586,0,.0967741935483871,.387096774193548,.516129032258065
5328,2,26,25-34,1,3, ,1,6,1,6,3,35,2,3,2,5,5,5,5,4,4,1,1,.668632300327731,.142857142857143,.0571428571428571,.428571428571429,.371428571428571
5338,2,38,35-44,2,1, ,1,7,1,4,3,8,0,5,3,0,0,0,0,0,0,1,1,-.443845583884894,.625,.375,0,0
5341,1,40,35-44,4,1, ,2,6,1,5,1,14,0,0,0,0,2,0,2,10,0,1,1,-.196628276282088,0,0,.142857142857143,.857142857142857
5345,2,31,25-34,3,5,2,1,2,4,2,3,9,0,0,0,0,0,0,5,4,0,1,1,-.402642699284426,0,0,0,1
5350,2,36,35-44,3,1, ,2,4,1,5,1,80,0,0,0,0,0,30,0,50,0,1,1,2.52276210734877,0,0,.375,.625
5353,2,38,35-44,1,1, ,1,8,4,4,3,8,0,0,8,0,0,0,0,0,0,1,1,-.443845583884894,0,1,0,0
5354,2,35,35-44,1,5,5,1,3,4,3,3,13,1,0,0,0,0,0,0,6,6,1,1,-.237831160882556,.0769230769230769,0,0,.923076923076923
